iter	RMSE
199	0.9844831009
200	0.9841940887
201	0.9835882279
202	0.9832990578
203	0.9827032162
204	0.9823770304
205	0.981944716
206	0.9811104683
207	0.9806400266
208	0.9798979883
209	0.9791793594
210	0.978763176
211	0.978204776
212	0.9779301368
213	0.9774785916
214	0.9768521028
215	0.9763219993
216	0.9754786466
217	0.9750292007
218	0.9744800917
219	0.974160909
220	0.9737233338
221	0.9731852397
222	0.9725499762
223	0.9721376458
224	0.9717002652
225	0.971336414
226	0.9708494673
227	0.9704081736
228	0.9699015596
229	0.9694990264
230	0.9689756597
231	0.9686735707
232	0.9682768483
233	0.9678207103
234	0.9674922207
235	0.9669565598
236	0.9665305189
237	0.9661165783
238	0.9655164361
239	0.9652334566
240	0.9648047393
241	0.9644586558
242	0.9640652507
243	0.9636160125
244	0.9632567194
245	0.9629274468
246	0.962466785
247	0.962171661
248	0.9617680601
249	0.9615245611
250	0.9612122827
251	0.9608163541
252	0.9604434211
253	0.9600597809
254	0.9596559321
255	0.959254653
256	0.9589470997
257	0.9585310124
258	0.9580425826
259	0.9574733842
260	0.957232169
261	0.9567419447
262	0.9563972287
263	0.9560296672
264	0.9555344332
265	0.9552485582
266	0.9548862322
267	0.9546034547
268	0.9542905594
269	0.9539612904
270	0.9535439906
271	0.9532175562
272	0.9529633669
273	0.9524309169
274	0.9520510217
275	0.9516683511
276	0.9513168652
277	0.9509429208
278	0.950685834
279	0.9505143374
280	0.9501508395
281	0.9498751311
282	0.9493937544
283	0.9492416164
284	0.9487349348
285	0.9484631172
286	0.948095963
287	0.9479404194
288	0.9475676262
289	0.9475198432
290	0.9471003594
291	0.9468101977
292	0.9464645276
293	0.9462842884
294	0.9458390726
295	0.9455666893
296	0.9453226024
297	0.9450342396
298	0.9445828275
299	0.9444800882
300	0.9443165003
301	0.943943132
302	0.9435802288
303	0.9431197144
304	0.942819897
305	0.9424757366
306	0.942442724
307	0.9423482465
308	0.942009157
309	0.9417291292
310	0.9414432852
311	0.9410446952
312	0.9409420478
313	0.9406255725
314	0.9402836739
315	0.9400435999
316	0.9397625648
317	0.9394272907
318	0.938921967
319	0.9388682903
320	0.9384315382
321	0.9378280154
322	0.9373244158
323	0.9371785579
324	0.936863996
325	0.9365896777
326	0.9362643433
327	0.9359025403
328	0.935677357
329	0.9352086617
330	0.9351596384
331	0.9347985987
332	0.934770356
333	0.9343706864
334	0.9339438139
335	0.9336276438
336	0.9332307605
337	0.9329381102
338	0.93263751
339	0.9322476573
340	0.9320239737
341	0.9316890467
342	0.931366882
343	0.9310284261
344	0.9308960554
345	0.9308664421
346	0.9306319194
347	0.9305927563
348	0.9302168987
349	0.930015097
350	0.9297412411
351	0.9294239008
352	0.9291328145
353	0.9288611946
354	0.9284876053
355	0.9281657926
356	0.9281012624
357	0.9280752201
358	0.927735065
359	0.9274545132
360	0.9271646663
361	0.9269117608
362	0.9267020741
363	0.9265213483
364	0.9261284568
365	0.9257585765
366	0.9257232777
367	0.9253794132
368	0.9251625803
369	0.9249633005
370	0.9246756119
371	0.9243613819
372	0.9240256205
373	0.9235862711
374	0.923371651
375	0.9230589235
376	0.9225605003
377	0.9223884938
378	0.9220048875
379	0.9217307163
380	0.9215060288
381	0.92123738
382	0.9208598989
383	0.9204092597
384	0.9201319487
385	0.9199524327
386	0.9196291233
387	0.9193342124
388	0.9190259289
389	0.9185649589
390	0.9182446102
391	0.9179355091
392	0.9176665586
393	0.9173159617
394	0.9170862187
395	0.9168897373
396	0.9167136022
397	0.9164179981
398	0.9161540495
399	0.9158670365
400	0.9155509341
401	0.9152566462
402	0.914769717
403	0.9144447075
404	0.9143620517
405	0.9140926751
406	0.9139495991
407	0.9136437247
408	0.9131472599
409	0.9128163279
410	0.9125213318
411	0.9122593708
412	0.9117735773
413	0.9115068965
414	0.9113671205
415	0.9111050797
416	0.9109243814
417	0.9106546405
418	0.9102338161
419	0.9099425436
420	0.9097510093
421	0.9094274148
422	0.909071347
423	0.9087806125
424	0.908493613
425	0.9081146194
426	0.9077684684
427	0.9074787669
428	0.9072539429
429	0.9071082596
430	0.9069144349
431	0.9067941782
432	0.9065465901
433	0.9062170802
434	0.9059829742
435	0.9057488381
436	0.9055032284
437	0.9050766006
438	0.9048742401
439	0.9046402687
440	0.9042991968
441	0.9040835347
442	0.9039218635
443	0.9036468039
444	0.9034282654
445	0.9031245823
446	0.9029486876
447	0.9026620547
448	0.902453794
449	0.9020761012
450	0.9018019987
451	0.9016372436
452	0.9015149207
453	0.9012796202
454	0.9010045146
455	0.9005989724
456	0.9003509107
457	0.9002053047
458	0.9000492442
459	0.8997793462
460	0.8993804549
461	0.8991684336
462	0.8989018842
463	0.8986679416
464	0.8985386813
465	0.8981516571
466	0.8979690706
467	0.897875912
468	0.8976868092
469	0.8975604197
470	0.8974058103
471	0.8970447779
472	0.8966503604
473	0.896390444
474	0.8961744987
475	0.8959553175
476	0.8957863275
477	0.8955025426
478	0.8952456715
479	0.8952268886
480	0.89479833
481	0.8943769644
482	0.8941012986
483	0.8939505792
484	0.8936981865
485	0.8934845926
486	0.8932818667
487	0.8929382095
488	0.8926326166
489	0.8923385296
490	0.892141174
491	0.8918446119
492	0.8916319738
493	0.8914579966
494	0.8912049136
495	0.8908594495
496	0.8906884735
497	0.89049212
498	0.8901675254
499	0.8900509018
500	0.8896822179
501	0.8895176749
502	0.8894475329
503	0.8891649382
504	0.8888867242
505	0.8886718892
506	0.8885511201
507	0.8883552173
508	0.8881896552
509	0.8879941518
510	0.887583568
511	0.8872060018
512	0.886811445
513	0.8866679277
514	0.8864056262
515	0.8862933499
516	0.8860979186
517	0.8858933045
518	0.8856143626
519	0.8854544359
520	0.885182905
521	0.8849387923
522	0.8847569854
523	0.8845660209
524	0.884390264
525	0.8843545378
526	0.8839142734
527	0.8837292976
528	0.8833831759
529	0.8832675938
530	0.8831236844
531	0.8828465397
532	0.8826452665
533	0.8824502801
534	0.882305438
535	0.8821775428
536	0.8820148218
537	0.881700372
538	0.8814263578
539	0.881170188
540	0.88088185
541	0.8806663577
542	0.880589539
543	0.880282334
544	0.8801310211
545	0.8797502348
546	0.8793175033
547	0.8790088746
548	0.8787747975
549	0.8782766341
550	0.8780884499
551	0.8778980168
552	0.8778782257
553	0.8775610693
554	0.8773556871
555	0.8773109502
556	0.8771100508
557	0.8768853675
558	0.8767783977
559	0.87641404
560	0.8762525588
561	0.8760606117
562	0.8757203848
563	0.875550559
564	0.8751538686
565	0.8750783531
566	0.8749062964
567	0.8745738876
568	0.8742732159
569	0.8742021913
570	0.8740029116
571	0.8738861401
572	0.8737605209
573	0.8735691304
574	0.8732818407
575	0.8730500634
576	0.8728742276
577	0.8726675951
578	0.8725596501
579	0.8723274602
580	0.8721156443
581	0.8720777762
582	0.8717462113
583	0.8715529166
584	0.8715118259
585	0.8712316879
586	0.8710419012
587	0.870978136
588	0.8707453121
589	0.8704532444
590	0.870329682
591	0.8702168792
592	0.8699601378
593	0.8697321685
594	0.8693251442
595	0.8690871549
596	0.8688140381
597	0.8687780801
598	0.8685867009
599	0.868392856
600	0.8679299434
601	0.867751703
602	0.8674621926
603	0.8673807429
604	0.8672652248
605	0.8672182794
606	0.8669195344
607	0.8667851429
608	0.8664081347
609	0.8661621431
610	0.8660841419
611	0.8659291517
612	0.8657559217
613	0.8655560652
614	0.865378152
615	0.8652166862
616	0.8650728622
617	0.8649125965
618	0.8646884396
619	0.8645077549
620	0.8643689309
621	0.8643049041
622	0.864002154
623	0.8638304715
624	0.8637450052
625	0.8637179717
626	0.8635070597
627	0.8633352717
628	0.8631315845
629	0.862985372
630	0.8629530473
631	0.8626416638
632	0.8623574941
633	0.862239247
634	0.8619743802
635	0.8619134476
636	0.861799314
637	0.861746441
638	0.8614776941
639	0.8613412371
640	0.8613240141
641	0.8613118804
642	0.8610799283
643	0.8609119834
644	0.8606413686
645	0.8604397054
646	0.860248624
647	0.8599713646
648	0.8596195188
649	0.8594584498
650	0.8591609116
651	0.8590205239
652	0.8589216185
653	0.8587129749
654	0.858501649
655	0.8584207828
656	0.8583243833
657	0.8582137886
658	0.8580825027
659	0.857965037
660	0.8579561872
661	0.8578732247
662	0.857596618
663	0.8574445724
664	0.8573439831
665	0.8572468583
666	0.8568663028
667	0.8566343246
668	0.8564414792
669	0.8561440235
670	0.8558748328
671	0.8556919752
672	0.8554328522
673	0.8551748758
674	0.8550997671
675	0.8549845448
676	0.8548813316
677	0.8547492973
678	0.8546394791
679	0.8545051051
680	0.8543317485
681	0.8540619896
682	0.8538783441
683	0.853677624
684	0.8535316075
685	0.8533883218
686	0.8533051367
687	0.8531320472
688	0.8528459936
689	0.852571318
690	0.8524787525
691	0.8523262447
692	0.8520956902
693	0.8518621148
694	0.8517304617
695	0.8515614878
696	0.85141455
697	0.8513105947
698	0.85097627
699	0.8508642029
700	0.8507346794
701	0.8504915461
702	0.8502986494
703	0.850043639
704	0.8498290583
705	0.8496237642
706	0.8494605396
707	0.8492788273
708	0.8492318871
709	0.8491030091
710	0.8487787307
711	0.8486419474
712	0.84839853
713	0.8481619902
714	0.8480096658
715	0.8479314804
716	0.8478208717
717	0.8477416913
718	0.8476250389
719	0.8474811585
720	0.8473020091
721	0.8472176219
722	0.8471448899
723	0.8470271599
724	0.8468118511
725	0.8467470657
726	0.8467305473
727	0.8466145033
728	0.8465288021
729	0.8463083579
730	0.8462202997
731	0.8459577782
732	0.8458265479
733	0.8456561539
734	0.8455989904
735	0.8454692718
736	0.845252198
737	0.8450666157
738	0.8449038013
739	0.8444824894
740	0.84440406
741	0.8443914689
742	0.8441521075
743	0.8438539318
744	0.8437667755
745	0.8436529632
746	0.8436411651
747	0.8434565746
748	0.8431899793
749	0.8430489788
750	0.842780495
751	0.8425438115
752	0.8423124831
753	0.8421831349
754	0.8419350244
755	0.8419142186
756	0.8415818758
757	0.841422693
758	0.8412966562
759	0.8411625193
760	0.8410459308
761	0.8410269066
762	0.840886534
763	0.8407216113
764	0.8406753919
765	0.8405616395
766	0.8404055019
767	0.840302866
768	0.84013077
769	0.8399271292
770	0.8398177191
771	0.8397385836
772	0.8394731879
773	0.8393000623
774	0.8389664416
775	0.838825991
776	0.8385842876
777	0.838509341
778	0.838388277
779	0.8383638472
780	0.8383083396
781	0.8380500069
782	0.8378562833
783	0.8377459644
784	0.837465197
785	0.837228815
786	0.8370109265
787	0.8368489932
788	0.836705273
789	0.8364898592
790	0.8362341167
791	0.8359705318
792	0.8358707679
793	0.8356028997
794	0.835326474
795	0.8351597289
796	0.8348017712
797	0.8347418374
798	0.8347341129
799	0.8345137479
800	0.8344480961
801	0.8344384696
802	0.8342003653
803	0.8340570886
804	0.833885908
805	0.8336803018
806	0.833486612
807	0.8334788891
808	0.8333064821
809	0.8332066001
810	0.8330407848
811	0.8328216899
812	0.832631734
813	0.8325036391
814	0.8324066475
815	0.8322450191
816	0.8321116766
817	0.8318914787
818	0.8317712891
819	0.8315429751
820	0.8313833551
821	0.8313792701
822	0.8313152676
823	0.8311865542
824	0.8310832173
825	0.8310038265
826	0.8307476696
827	0.830566842
828	0.830353505
829	0.8303483447
830	0.8301619686
831	0.8300425931
832	0.8298448062
833	0.8297577084
834	0.8296491258
835	0.8295134929
836	0.8293946423
837	0.8292846148
838	0.829127597
839	0.828954574
840	0.8287591221
841	0.8285550417
842	0.828423267
843	0.8282839636
844	0.8280776095
845	0.8279096355
846	0.8276499916
847	0.8275086523
848	0.8273809916
849	0.8273331667
850	0.827172539
851	0.8270048959
852	0.8268790367
853	0.8267540673
854	0.8266073085
855	0.8264524209
856	0.8262305201
857	0.8260339331
858	0.8260273927
859	0.8259568005
860	0.8258528103
861	0.8257924955
862	0.8257133143
863	0.8255970772
864	0.8254961503
865	0.8253737842
866	0.8253182181
867	0.8252303144
868	0.8250085421
869	0.8248735353
870	0.8246461451
871	0.8244691001
872	0.8243064109
873	0.8241331898
874	0.8240488064
875	0.8239125423
876	0.8237502362
877	0.8235210537
878	0.8234504075
879	0.8234454816
880	0.8233394284
881	0.8232341698
882	0.8230804515
883	0.8230742472
884	0.8228821416
885	0.8228660571
886	0.8227474306
887	0.8225513744
888	0.8224351755
889	0.8222326197
890	0.8221466889
891	0.8220140142
892	0.8218098495
893	0.8217388062
894	0.8215593098
895	0.8214540747
896	0.821394582
897	0.8212100105
898	0.8210036328
899	0.8207858164
900	0.820718558
901	0.8204777552
902	0.8203863563
903	0.8202438454
904	0.8202283358
905	0.8200075772
906	0.8198717605
907	0.8197158313
908	0.8196356765
909	0.819435816
910	0.8193211557
911	0.8191249949
912	0.8190651028
913	0.818893661
914	0.8187848947
915	0.8186624515
916	0.8186058546
917	0.8185349409
918	0.8185161679
919	0.818382051
920	0.8183763542
921	0.8182695876
922	0.8182522011
923	0.8182363652
924	0.818152488
925	0.8179507451
926	0.8179468068
927	0.8179280012
928	0.8178514227
929	0.817779256
930	0.8176359567
931	0.8174601036
932	0.8172139189
933	0.8171024422
934	0.8168473079
935	0.8168096746
936	0.8167291267
937	0.8165576909
938	0.816478843
939	0.8163338014
940	0.8163266337
941	0.8161781095
942	0.8159792198
943	0.8159128439
944	0.8156546818
945	0.8155706953
946	0.8154093698
947	0.8151380747
948	0.8150555091
949	0.8150506471
950	0.815048243
951	0.8149225093
952	0.8148249136
953	0.8147707427
954	0.8147617816
955	0.814681937
956	0.8146589806
957	0.8146141656
958	0.8145644499
959	0.8145241543
960	0.8143638753
961	0.8142998733
962	0.8142241206
963	0.8142039055
964	0.8140636123
965	0.8138376922
966	0.8136842827
967	0.8135949855
968	0.813549997
969	0.8133815551
970	0.8132158706
971	0.8131032417
972	0.8129924524
973	0.8129104065
974	0.8127682378
975	0.812669393
976	0.8125661968
977	0.8124523327
978	0.812364238
979	0.8122953455
980	0.8121034824
981	0.812029921
982	0.8118965975
983	0.8116880002
984	0.8116764405
985	0.8114769172
986	0.811453131
987	0.8114314843
988	0.8112588795
989	0.8111660793
